Item,Comments,Quantity,Section,Combined_Section,RowID
100W USB-C to USB-C cable,NA,25,Cables and Adapters,Cables & Adapters,1
6ft USB Extension Cable,NA,17,Cables and Adapters,Cables & Adapters,2
AT&T Cellular Galaxy Tab A,NA,4,Tablets,Tablets & Accessories,3
Apple 30-pin to USB-A,NA,2,Cables and Adapters,Cables & Adapters,4
Audio Cable 3.5mm,NA,7,Cables and Adapters,Cables & Adapters,5
Audiocodes HTTPS Fax ATA,NA,4,Miscellaneous Tech,Miscellaneous & Accessories,6
Benfei DisplayPort to HDMI Adapter,NA,3,Cables and Adapters,Cables & Adapters,7
Black Galaxy Tab Cases,Not on tablets,21,Tablet Cases and Accessories,Tablets & Accessories,8
Bluetooth Keyboard Case for Tab,NA,7,Tablet Cases and Accessories,Tablets & Accessories,9
Bluetooth Keyboards for Tablets with Props,Includes a prop for the tablet,8,Other Accessories,Miscellaneous & Accessories,10
Bluetooth Tracking Keychain with Selfie Remote,NA,2,Other Accessories,Miscellaneous & Accessories,11
Brother Color Printer HL L8500CDN,NA,2,Printers and Scanners,Printers & Scanners,12
Brother P-Touch Label Maker,NA,1,Printers and Scanners,Printers & Scanners,13
Bytec Res Core Mobile External Hard Drive,NA,1,Storage Devices,Storage Devices,14
CNPilot E510 Access Point,NA,2,Networking Equipment,Networking Equipment,15
Casio DC1 Camera 3x Zoom,NA,2,Audio and Video Equipment,Audio & Video Equipment,16
D-Link 5 Port Gigabit Ethernet Switch,NA,1,Networking Equipment,Networking Equipment,17
DVI to HDMI Adapter,NA,4,Cables and Adapters,Cables & Adapters,18
DYMO Embossing Label Maker,NA,1,Printers and Scanners,Printers & Scanners,19
"Dell 27"" Monitor with Stand and HDMI",NA,3,Monitors,Peripherals & Displays,20
Dell 45W DC Adapter,NA,1,Laptop Chargers,Laptops & Accessories,21
Dell Laptop i3 Latitude 3520,Includes charger,1,Laptops,Laptops & Accessories,22
Dell Laptop i3 Latitude 3520,"Low memory, no charger",1,Laptops,Laptops & Accessories,23
Dell Latitude 3420 with charger,NA,3,Laptops,Laptops & Accessories,24
Dell Latitude 5540,NA,3,Laptops,Laptops & Accessories,25
Dell Monitor,NA,1,Monitors,Peripherals & Displays,26
Dell Monitor with Mount,NA,2,Monitors,Peripherals & Displays,27
Dell Notebook Power Bank Plus,Includes cables,2,Laptop Chargers,Laptops & Accessories,28
Dell Tablet running Windows 8 Pro Intel,NA,3,Tablets,Tablets & Accessories,29
Dell USB-C Docking Station,Includes cables,1,Laptop Accessories,Laptops & Accessories,30
Dell USB-C Docking Station,Includes cables and power cables,3,Laptop Accessories,Laptops & Accessories,31
Dell Wide Stand (to hang/attach 2 monitors),NA,2,Monitors,Peripherals & Displays,32
Desktop Computer Tower,"Old, with optical and floppy disk",2,Other Accessories,Miscellaneous & Accessories,33
DisplayPort to HDMI Adapter,NA,2,Cables and Adapters,Cables & Adapters,34
Dymo Label Printer 450,"With Dymo software, AC adapter, USB cable",1,Printers and Scanners,Printers & Scanners,35
E400 CNPilot Gigabit Access Point,NA,8,Networking Equipment,Networking Equipment,36
Ethernet Cable,NA,1,Cables and Adapters,Cables & Adapters,37
Ethernet Cable RJ45 Connector,NA,3,Cables and Adapters,Cables & Adapters,38
Ethernet Cables,NA,6,Cables and Adapters,Cables & Adapters,39
Extension Cords (short),NA,8,Cables and Adapters,Cables & Adapters,40
Galaxy Tab Chargers with Bricks,NA,8,Tablet Chargers,Tablets & Accessories,41
Galaxy Tabs,No case,2,Tablets,Tablets & Accessories,42
Galaxy Tabs in black case,NA,5,Tablets,Tablets & Accessories,43
Galaxy Tabs in orange case,NA,6,Tablets,Tablets & Accessories,44
Generic Laptop Batteries,NA,2,Laptop Batteries,Laptops & Accessories,45
HP TV Remote,NA,4,TVs,Peripherals & Displays,46
Handheld Scanner to Put Honeywell Device In,NA,12,Other Accessories,Miscellaneous & Accessories,47
HannsG Monitor,NA,8,Monitors,Peripherals & Displays,48
Hipro 152 Watt Extra,NA,1,Other Accessories,Miscellaneous & Accessories,49
