Item,Quantity,Comments,Section
Dell Latitude 5540,2,,Laptops
Dell Latitude 3420 with charger,2,,Laptops
Lenovo 100e Chromebook Gen3 4GB RAM 32GB EMMC,10,Includes 65W charger,Laptops
Lenovo 100e Chromebook,1,"Not working, Includes 65W charger",Laptops
Lenovo AMD4 Chromebook ,1,Keyboard not working,Laptops
Lenovo AMD4 Chromebook,1,,Laptops
Dell Laptop i3 Latitude 3520,1,Includes charger,Laptops
Dell Laptop i3 Latitude 3520,1,"Low memory, no charger",Laptops
Lenovo 65W Laptop Charger,2,,Laptop Chargers
Dell Notebook Power Bank Plus,1,Includes cables,Laptop Chargers
Dell 45W DC Adapter,1,,Laptop Chargers
Generic Laptop Batteries,2,,Laptop Batteries
Kensington Adjustable Laptop Riser and Cooling Stand,2,,Laptop Accessories
Dell USB-C Docking Station,1,Includes cables,Laptop Accessories
Dell USB-C Docking Station,2,Includes cables and power cables,Laptop Accessories
Galaxy Tabs in orange case,4,,Tablets
Galaxy Tabs in black case,3,,Tablets
Galaxy Tabs ,2,No case,Tablets
Dell Tablet running Windows 8 Pro Intel,3,,Tablets
Windows Surface with attachable keyboard,1,Attaches magnetically,Tablets
AT&T Cellular Galaxy Tab A,1,,Tablets
Old iPad in leather case,1,,Tablets
Galaxy Tab Chargers with Bricks,3,,Tablet Chargers
Black Galaxy Tab Cases,14,Not on tablets,Tablet Cases and Accessories
Bluetooth Keyboard Case for Tab,1,,Tablet Cases and Accessories
Tempered Glass Screen Protector Packs,5,,Tablet Cases and Accessories
iPhone XR,2,,Phones
iPhone 11,1,,Phones
iPhone 6S,1,,Phones
iPhone 5S,1,Unopened,Phones
S20 FE 5G,2,,Phones
S21 Phone Case,5,,Phone Cases
S21+ Phone Case,1,,Phone Cases
Juniper Networks SRX300 Gateway Router,1,Includes Asian power devices adapter,Networking Equipment
Linksys Router with 4 Port Switch,1,,Networking Equipment
Netgear 8 Port Gigabit Ethernet Switch,1,,Networking Equipment
Zyxel Smart Managed Switch GS1900,1,,Networking Equipment
Netgear ProSafe 16 Port Ethernet Switch,1,,Networking Equipment
D-Link 5 Port Gigabit Ethernet Switch,1,,Networking Equipment
Linksys 2.4 GHz Wireless Access Point,1,,Networking Equipment
E400 CNPilot Gigabit Access Point,7,,Networking Equipment
CNPilot E510 Access Point,2,,Networking Equipment
UniFi Access Point AC Pro,1,,Networking Equipment
Seagate 1TB HDD Baracuda,3,,Storage Devices
Seagate 2TB 7200RPM SATA HDD,3,,Storage Devices
Bytec Res Core Mobile External Hard Drive,1,,Storage Devices
"Kingwin 3.5"" Hard Drive",1,,Storage Devices
SmartDrive Mobile Drive HDD,1,,Storage Devices
Brother Color Printer HL L8500CDN,1,,Printers and Scanners
Panini Vision X Check Scanner,1,,Printers and Scanners
ScanSnap Scanner,1,,Printers and Scanners
Dymo Label Printer 450,1,"With Dymo software, AC adapter, USB cable",Printers and Scanners
Brother P-Touch Label Maker,1,,Printers and Scanners
DYMO Embossing Label Maker,1,,Printers and Scanners
Olympus 8MP Camera with AV Cable,1,,Audio and Video Equipment
Casio DC1 Camera 3x Zoom,1,,Audio and Video Equipment
Panasonic TV with Power Cable,1,,Audio and Video Equipment
Old HP TVs Bulky with Power Cables,2,,Audio and Video Equipment
Muzak Digital Music Power Amplifier,1,,Audio and Video Equipment
Supermicro Bundle of Jumper Wires,1,,Miscellaneous Tech
Audiocodes HTTPS Fax ATA,1,,Miscellaneous Tech
Hipro 50W AC Adapter,1,,Miscellaneous Tech
"Symbol Charge Cradle, DC Charger",3,,Miscellaneous Tech
Symbol Handheld Lithium Batteries,8,,Miscellaneous Tech
Power Supplies (generic),4,,Miscellaneous Tech
Thermal Transfer Ribbon Rolls,8,,Miscellaneous Tech
Ethernet Cables,6,,Cables and Adapters
USB A to USB A,2,,Cables and Adapters
